"","","Current smoking of any tobacco product (age-standardized rate)","Current smoking of any tobacco product (age-standardized rate)","Current smoking of any tobacco product (age-standardized rate)","Daily smoking of any tobacco product (age-standardized rate)","Daily smoking of any tobacco product (age-standardized rate)","Daily smoking of any tobacco product (age-standardized rate)","Current smoking of cigarettes (age-standardized rate)","Current smoking of cigarettes (age-standardized rate)","Current smoking of cigarettes (age-standardized rate)","Daily smoking of cigarettes (age-standardized rate)","Daily smoking of cigarettes (age-standardized rate)","Daily smoking of cigarettes (age-standardized rate)"
"Country","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Afghanistan"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Albania"," 2013","29.7","51.7","8.0","23.8","41.7","6.2","24.5","44.4","5.0","21.3","38.4","4.6"
"Algeria"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Andorra"," 2013","33.1","38.1","28.1","27.9","32.2","23.6","27.2","31.4","22.9","22.0","25.3","18.7"
"Angola"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Antigua and Barbuda"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Argentina"," 2013","25.3","31.0","19.9","18.1","22.2","14.3","22.9","28.2","18.0","17.3","21.4","13.5"
"Armenia"," 2013","28.0","54.2","1.7","24.7","48.1","1.3","26.2","50.8","1.5","22.7","44.2","1.1"
"Australia"," 2013","16.0","17.8","14.3","13.7","15.1","12.4","13.0","14.9","11.3","11.0","12.3","9.6"
"Austria"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Azerbaijan"," 2013","23.5","47.8","0.4","18.6","38.0","0.3","18.7","38.2","0.3","15.5","31.7","0.3"
"Bahamas"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Bahrain"," 2013","30.3","42.7","7.1","27.1","38.5","5.9","25.3","37.6","2.3","21.2","31.9","1.4"
"Bangladesh"," 2013","21.8","42.4","0.9","19.6","38.1","0.8","15.2","29.8","0.3","12.5","24.5","0.3"
"Barbados"," 2013","7.0","13.1","1.0","5.0","9.3","0.7","5.4","10.2","0.8","3.8","7.1","0.5"
"Belarus"," 2013","27.9","48.2","10.9","22.6","40.7","7.6","25.6","44.3","10.0","21.1","38.4","6.7"
"Belgium"," 2013","23.9","27.5","20.5","19.7","22.6","16.9","19.8","22.5","17.2","15.5","17.4","13.7"
"Belize"," 2013","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available"
"Benin"," 2013","8.8","16.9","1.0","7.4","14.2","0.8","5.0","9.9","0.2","4.6","9.0","0.2"
